book_id;followed_book_id
Q3355674;Q4355537
Q10683875;Q10669345
Q2610636;Q2490707
Q687432;Q3366164
Q1960187;Q3203627
Q2109932;Q1816933
Q3179502;Q21293806
Q2347047;Q2585479
Q588035;Q948372
Q2171394;Q550208
Q1764445;Q28306
Q8030577;Q7597242
Q2469230;Q3232270
Q16227935;Q17142032
Q10428750;Q10428816
Q2774897;Q13571573
Q837140;Q40354
Q2779750;Q2469557
Q2409540;Q1138346
Q13744827;Q2013714
Q2261855;Q2499675
Q2051372;Q2228444
Q17142032;Q20050039
Q28044022;Q28777290
Q4474775;Q4354232
Q2915291;Q7460805
Q2328959;Q1841196
Q934580;Q3042041
Q3224230;Q17041125
Q16663509;Q16010866
Q16209219;Q28312340
Q2819868;Q3039168
Q1199348;Q468135
Q3790458;Q3998015
Q82442;Q2864487
Q3826734;Q963537
Q17088998;Q3009892
Q1552885;Q16387099
Q7773607;Q7746428
Q1974985;Q2610636
Q2693218;Q2864880
Q7733189;Q15035663
Q8563826;Q4996792
Q4551390;Q4551375
Q4154961;Q2501389
Q3829111;Q3794234
Q6757015;Q7883426
Q140527;Q1639633
Q1852394;Q2602658
Q11762857;Q3940410
Q1340996;Q3548282
Q7715785;Q7759756
Q7456958;Q8030573
Q1904455;Q2229094
Q3279808;Q3278822
Q385502;Q565911
Q2609313;Q2469763
Q7759756;Q7763231
Q1975119;Q1852394
Q5683057;Q8030577
Q21295044;Q21295046
Q3116252;Q3412966
Q2183795;Q21294885
Q1212348;Q594139
Q5054219;Q5054220
Q3754702;Q3792767
Q10669345;Q10683880
Q7767439;Q7762655
Q6083507;Q4691100
Q3353458;Q303882
Q470057;Q1055141
Q2790229;Q3825068
Q7766603;Q5305671
Q10428760;Q10428756
Q2469557;Q2076367
Q10428764;Q10428757
Q1214433;Q628443
Q5970437;Q28017210
Q3412966;Q3335725
Q6982449;Q7978347
Q1171438;Q662435
Q2695768;Q2232820
Q7773418;Q5003820
Q3972919;Q7305089
Q2101649;Q3355674
Q10428822;Q10428823
Q7738912;Q4927654
Q16385242;Q3224230
Q3275785;Q2293131
Q502579;Q502633
Q191540;Q212473
Q46887;Q46758
Q4008448;Q9370737
Q7770283;Q7763465
Q785354;Q3517860
Q1997545;Q1197958
Q5435715;Q687432
Q1152413;Q4008448
Q10683884;Q10675676
Q137869;Q1446938
Q10428761;Q10428750
Q514724;Q1195411
Q2620228;Q1975119
Q835341;Q1751752
Q11291108;Q5366711
Q21295021;Q21295022
Q3794234;Q3771675
Q21295055;Q21009213
Q2375589;Q4029161
Q2194825;Q2779750
Q2443842;Q2689724
Q16385292;Q7734790
Q385336;Q5189796
Q3822559;Q3818654
Q726902;Q3231700
Q1450848;Q3754702
Q5055051;Q7742726
Q4898255;Q4898256
Q2238828;Q2201900
Q3234544;Q3234516
Q633329;Q1092413
Q21079071;Q28918993
Q7734790;Q7602425
Q2268907;Q2426074
Q645024;Q1304875
Q18679574;Q23694730
Q2097151;Q2779143
Q2409203;Q663632
Q53316031;Q6417126
Q17001593;Q16227935
Q2282666;Q1960187
Q3874393;Q3793358
Q1042294;Q187655
Q1061892;Q3822693
Q7378797;Q24037238
Q3227807;Q1364469
Q467720;Q2447776
Q13882543;Q3354802
Q2503550;Q2692502
Q5826117;Q5826118
Q21295089;Q20972546
Q627192;Q5918512
Q282284;Q7763362
Q1150003;Q1939346
Q493191;Q7728985
Q7939762;Q7769304
Q2731114;Q1869022
Q607232;Q2409203
Q1213902;Q183565
Q1918304;Q1215553
Q678288;Q1137369
Q21009213;Q21295061
Q1472204;Q923111
Q2293131;Q2132853
Q3225628;Q3230799
Q7776635;Q7740961
Q3818654;Q3829064
Q16861729;Q16861738
Q5918512;Q15238761
Q2319431;Q2377147
Q840974;Q2600597
Q753894;Q839800
Q506898;Q1092421
Q18517323;Q21867990
Q2053098;Q2243146
Q1216126;Q1198883
Q3679057;Q3754658
Q2595897;Q2193880
Q472291;Q929899
Q1939346;Q768605
Q4002537;Q3860994
Q3354802;Q2797244
Q602216;Q1748402
Q3283718;Q2274863
Q7763231;Q7735488
Q3940410;Q3365242
Q3210036;Q3226971
Q19842778;Q3850497
Q5190133;Q6729203
Q2523042;Q2522989
Q18516245;Q18516256
Q3793751;Q3744769
Q3018388;Q3557114
Q3428339;Q3428311
Q10683891;Q10684061
Q13725982;Q2620228
Q2636237;Q282284
Q3952702;Q3687757
Q2304272;Q2731114
Q212718;Q223784
Q21294942;Q21294944
Q7772193;Q16387170
Q2915294;Q2608698
Q16387047;Q7743776
Q2114133;Q2279536
Q2243146;Q1974985
Q7769477;Q7773607
Q2843782;Q2154863
Q684818;Q302026
Q4064798;Q4743677
Q4355650;Q986658
Q16867954;Q7912950
Q2028994;Q2954362
Q493574;Q470844
Q5065295;Q6015506
Q3020486;Q3427602
Q10683886;Q10683888
Q2288976;Q1157183
Q2678229;Q2700165
Q3226029;Q3089022
Q666405;Q884010
Q17141859;Q17001593
Q3912978;Q14469619
Q7912950;Q7912951
Q10428759;Q10428813
Q1140036;Q1991641
Q3428115;Q3427987
Q308982;Q718289
Q1981515;Q2658336
Q3230799;Q3061309
Q3643104;Q1589173
Q2737771;Q2268907
Q1639633;Q769001
Q1349759;Q1340996
Q13486202;Q15094166
Q16589340;Q5970433
Q6679311;Q7430444
Q2020764;Q2714775
Q16878130;Q16663509
Q2515117;Q2800632
Q10428820;Q10428760
Q3772088;Q3824329
Q678251;Q2288976
Q2350141;Q2216399
Q10428762;Q10428763
Q21295038;Q21295040
Q10683892;Q10683876
Q176470;Q1193680
Q2716267;Q2194825
Q7602425;Q16256384
Q3234035;Q7776230
Q3772083;Q3819068
Q240087;Q1236531
Q13474624;Q2674568
Q261728;Q467139
