human_id;occupation
Q43939;cleric
Q43939;monk
Q1133523;judge
Q359237;politician
Q366270;poet
Q366270;writer
Q311456;historian
Q311456;writer
Q8747;mathematician
Q8747;writer
Q41166;opinion journalism
Q302;thaumaturge
Q172248;politician
Q172248;philosopher
Q172248;military personnel
Q154938;monk
Q2442652;engraver
Q310686;priest
Q297776;physician
Q297776;botanist
Q665165;troubadour
Q665165;poet
Q665165;composer
Q1707785;politician
Q1707785;trade unionist
Q188411;theologian
Q188411;writer
Q188411;philosopher
Q130221;sovereign
Q130221;writer
Q130221;poet
Q83041;mathematician
Q83041;philosopher
Q83041;physicist
Q83041;astronomer
Q1048;politician
Q1048;writer
Q448586;preacher
Q2521377;Catholic priest
Q302;religious leader
Q41155;philosopher
Q41155;writer
Q5264;physician
Q5264;philosopher
Q5264;writer
Q172353;politician
Q172353;military personnel
Q154938;hagiographer
Q154938;poet
Q5254;troubadour
Q5254;poet
Q5254;Catholic priest
Q5254;composer
Q172916;politician
Q172916;writer
Q172916;cleric
Q172916;university teacher
Q172916;Catholic priest
Q297776;pharmacist
Q188411;religious
Q8778;physician writer
Q166876;writer
Q166876;musicologist
Q166876;philosopher
Q166876;music theorist
Q166876;cleric
Q166876;Catholic priest
Q166876;historian
Q40662;hermit
Q40662;prophet
Q316876;poet
Q316876;writer
Q118081;cleric
Q118081;Catholic priest
Q317554;theologian
Q317554;philosopher
Q317554;writer
Q1048;augur
Q154938;church historian
Q154938;translator
Q154938;theologian
Q154938;writer
Q6239779;journalist
Q6239779;politician
Q132786;cleric
Q132786;Catholic priest
Q297776;pharmacologist
Q297776;writer
Q8011;philosopher
Q8011;scientist
Q8011;poet
Q8011;astronomer
Q8011;physician
Q8011;music theorist
Q8011;physicist
Q8011;mathematician
Q366070;poet
Q366070;painter
Q366070;writer
Q366070;journalist
Q60059;chemist
Q60059;priest
Q60059;musicologist
Q60059;philosopher
Q60059;writer
Q60059;music theorist
Q60059;professor
Q60059;economist
Q60059;astrologer
Q60059;entomologist
Q60059;theologian
Q60059;scientist
Q60059;religious
Q60059;monk
Q315347;philosopher
Q315347;Catholic priest
Q315347;theologian
Q188411;hymnwriter
Q785250;historian
Q785250;theologian
Q785250;writer
Q203792;condottiero
Q8778;surgeon
Q1048;orator
Q1067;politician
Q1067;philosopher
Q1067;political theorist
Q1067;lyricist
Q1067;prosaist
Q1067;intellectual
Q1067;poet
Q154938;Bible translator
Q154938;historian
Q859;philosopher
Q859;epigrammatist
Q859;poet
Q76721;monarch
Q43706;theologian
Q43706;priest
Q43706;writer
Q2721219;politician
Q8011;chemist
Q43746;philosopher
Q43746;writer
Q43746;theologian
Q43746;Catholic priest
Q43746;religious
Q2755054;condottiero
Q2755054;politician
Q211246;priest
Q247137;writer
Q1048;memoirist
Q1048;military officer
Q9438;philosopher
Q9438;writer
Q9438;theologian
Q466048;poet
Q131463;cleric
Q131463;Catholic priest
Q355903;philosopher
Q7326690;linguist
Q8011;ethicist
Q6691;poet
Q332750;politician
Q234533;writer
Q1048;ruler
Q1048;historian
Q1048;military personnel
Q1541;philosopher
Q1541;politician
Q1541;poet
Q1541;political theorist
Q1541;jurist
Q1541;orator
Q1541;writer
Q1541;lawyer
Q1541;military personnel
Q9438;friar
Q9438;professor
Q9438;Catholic priest
Q676555;Christian religious
Q676555;poet
Q676555;friar
Q676555;writer
Q152717;priest
Q152717;cleric
Q8011;faqih
Q170335;queen consort
Q1398;poet
Q868;metaphysician
Q1093574;priest
Q8409;politician
Q243203;poet
Q243203;writer
Q676555;deacon
Q451516;politician
Q451516;military personnel
Q81018;economist
Q868;biologist
Q8409;military leader
Q426862;astronomer
Q426862;astrologer
Q2054;playwright
Q2054;poet
Q2054;philosopher
Q2054;aphorist
Q2054;statesperson
Q2054;politician
Q2054;writer
Q41370;herder
Q41370;sovereign
Q868;cosmologist
Q36724;sovereign
Q6197;poet
Q6197;writer
Q41370;singer
Q41370;prophet
Q41370;politician
Q41370;judge
Q41370;poet
Q41370;farmer
Q868;logician
Q868;zoologist
Q868;literary critic
Q868;mathematician
Q868;ethicist
Q48305;tragedy writer
Q102851;philosopher
Q102851;statesperson
Q102851;writer
Q102851;musicologist
Q102851;music theorist
Q102851;politician
Q102851;mathematician
Q868;epistemologist
Q1927217;teacher
Q706003;politician
Q706003;soldier
Q868;political philosopher
Q868;polymath
Q868;philosopher of language
Q868;writer
Q868;philosopher
Q868;astronomer
Q868;geographer
Q868;teacher
Q868;tutor
Q4014539;politician
Q6756538;politician
Q1728820;politician
Q1728820;physician
Q15976266;politician
Q468394;politician
Q2641759;politician
Q2641759;judge
Q4779594;politician
Q312015;politician
Q19592761;judge
Q19592761;politician
Q19592761;writer
Q19592761;lawyer
Q1148719;politician
Q1148719;lawyer
Q334155;politician
Q334155;lawyer
Q18104657;politician
Q468394;entrepreneur
Q312015;civil engineer
Q312015;engineer
Q23766020;politician
Q23766020;lawyer
Q703503;politician
Q703503;lawyer
Q703503;university teacher
Q703503;writer
Q2885098;politician
Q17146774;manager
Q17146774;politician
Q4911497;politician
Q4911497;lawyer
Q468394;businessperson
Q4779594;social activist
Q6070218;politician
Q6070218;economist
Q983514;politician
