human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q229807;Berengaria of Navarre;Medieval English queen consort;Berenguera de Navarra;female;+1165-01-01T00:00:00Z;+1230-12-23T00:00:00Z;nc
Q635;Cleopatra;last active pharaoh of Ptolemaic Egypt;;female;-0069-00-00T00:00:00Z;-0030-08-12T00:00:00Z;nc
Q247137;Aelius Donatus;Roman grammarian;;male;+0320-00-00T00:00:00Z;+0380-00-00T00:00:00Z;nc
Q7326;Hernán Cortés;Spanish conquistador;Hernán Cortés;male;+1485-01-01T00:00:00Z;+1547-12-02T00:00:00Z;nc
Q47561;Ivo Andrić;Yugoslavian writer;Иво Андрић;male;+1892-10-09T00:00:00Z;+1975-03-13T00:00:00Z;nc
Q4344;Arnaut Daniel;Occitan troubadour;Arnaut Daniel;male;+1150-00-00T00:00:00Z;+1210-00-00T00:00:00Z;nc
Q26408;Pierre Bonnard;French painter and printmaker;Pierre Bonnard;male;+1867-10-03T00:00:00Z;+1947-01-23T00:00:00Z;nc
Q738590;Lucius Vipstanus Messalla;;;male;+0045-01-01T00:00:00Z;+0080-01-01T00:00:00Z;nc
Q137680;Angela Burdett-Coutts, 1st Baroness Burdett-Coutts;British peer, philanthropist and humanitarian;;female;+1814-04-21T00:00:00Z;+1906-12-30T00:00:00Z;nc
Q4202726;;;;male;;+1470-06-06T00:00:00Z;nc
Q43353;Aristophanes;Athenian playwright of Old Comedy;;male;-0446-01-01T00:00:00Z;-0386-01-01T00:00:00Z;nc
Q154938;Bede;English monk and saint;Beda Venerabilis;male;+0672-01-01T00:00:00Z;+0735-05-25T00:00:00Z;nc
Q1980579;Siemowit IV, Duke of Masovia;Duke of Masovia;;male;+1352-01-01T00:00:00Z;+1426-01-21T00:00:00Z;nc
Q256439;Claudia Acte;freedwoman of ancient Rome who became a mistress of the emperor Nero;;female;+0100-01-01T00:00:00Z;;nc
Q525713;Howard Pyle;American illustrator and author;;male;+1853-03-05T00:00:00Z;+1911-11-09T00:00:00Z;nc
Q4099779;;;;male;;;nc
Q26335015;Jean-Michel Roignant;;;male;+1959-00-00T00:00:00Z;;nc
Q352;Adolf Hitler;Führer and Reich Chancellor of Germany, Leader of the Nazi Party;Adolf Hitler;male;+1889-04-20T00:00:00Z;+1945-04-30T00:00:00Z;nc
Q170335;Constance;Queen of Sicily;;female;+1154-11-02T00:00:00Z;+1198-11-27T00:00:00Z;nc
Q5289324;Marcin of Wrocimowice;Polish diplomat;;male;;+1442-01-01T00:00:00Z;nc
Q1855648;Luke Fildes;British artist;;male;+1843-10-03T00:00:00Z;+1927-02-28T00:00:00Z;nc
Q778520;Diana Turbay;Colombian journalist;;female;+1950-03-09T00:00:00Z;+1991-01-25T00:00:00Z;nc
Q54049;Władysław II Jagiełło;Grand Duke of Lithuania and King of Poland;;male;+1362-01-01T00:00:00Z;+1434-06-01T00:00:00Z;nc
Q346846;Georges Rochegrosse;French painter;Georges-Antoine Rochegrosse;male;+1859-08-02T00:00:00Z;+1938-07-11T00:00:00Z;nc
Q169363;Zebedee;father of James and John, two disciples of Jesus;;male;-0100-01-01T00:00:00Z;+0100-01-01T00:00:00Z;nc
Q4821453;Augustus Hoppin;American writer;;male;+1828-01-01T00:00:00Z;+1896-01-01T00:00:00Z;nc
Q950850;Samuel Morland;British academic, diplomat and spy;;male;+1625-01-01T00:00:00Z;+1695-12-30T00:00:00Z;nc
Q111559;Judah Maccabee;Jewish revolutionary;;male;;-0160-00-00T00:00:00Z;nc
Q43399;Andrew;religious figure of the Christian faith;Ἀνδρέας;male;-0006-01-01T00:00:00Z;+0060-11-30T00:00:00Z;nc
Q44015;John the Apostle;apostle of Jesus  son of Zebedee and Salome, brother of James,  traditionally identified with John the Evangelist, John of Patmos, and the Beloved Disciple;;male;+0006-01-01T00:00:00Z;+0100-01-01T00:00:00Z;nc
Q319713;Leopold V, Duke of Austria;Austrian duke;Luitpold V der Tugendhafte;male;+1157-01-01T00:00:00Z;+1194-12-31T00:00:00Z;nc
Q5689201;Hernando Santos Castillo;Colombian lawyer (1922-1999);;male;+1922-08-15T00:00:00Z;+1999-04-20T00:00:00Z;nc
Q2085338;Vahan Mamikonian;Armenian rebel;Վահան Մամիկոնյան;male;+0440-01-01T00:00:00Z;+0505-01-01T00:00:00Z;nc
Q7326690;Richard Irvine Best;Irish scholar;;male;+1872-01-01T00:00:00Z;+1959-09-25T00:00:00Z;nc
Q650946;Věnceslav Černý;Czech illustrator and painter;Věnceslav Černý;male;+1865-01-27T00:00:00Z;+1936-04-15T00:00:00Z;nc
Q24259135;Nick Orsi;artist working for Disney;;male;;;nc
Q956193;Pierre Clémenti;French actor;Pierre Clémenti;male;+1942-09-28T00:00:00Z;+1999-12-27T00:00:00Z;nc
Q6780580;Mary Raphael Slattery;Catholic leader from the USA;Mary Slattery;female;+1863-01-17T00:00:00Z;+1940-09-09T00:00:00Z;nc
Q2142823;Thierry Breton;French businessman;Thierry Breton;male;+1955-01-15T00:00:00Z;;nc
Q1427;Hadrian;Emperor of Ancient Rome;whats app boi;male;+0076-01-24T00:00:00Z;+0138-07-10T00:00:00Z;nc
Q366070;George William Russell;Irish writer, editor, critic, poet, and artistic painter;;male;+1867-04-10T00:00:00Z;+1935-07-17T00:00:00Z;nc
