human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q6070218;Pedro Sánchez Pérez-Castejón;Spanish Prime Minister;Pedro Sánchez;male;+1972-02-29T00:00:00Z;;nc
Q470903;Sher Bahadur Deuba;Nepalese politician and the Prime Minister of Nepal, in office since 2017;;male;+1946-06-13T00:00:00Z;;nc
Q21855433;Mamady Youla;Guinean politician and economist;;male;+1961-11-05T00:00:00Z;;nc
Q28836953;Jack Guy Lafontant;Prime Minister of Haiti;;male;+1961-04-04T00:00:00Z;;nc
Q983402;Ranil Wickremesinghe;Sri Lankan politician;;male;+1949-03-24T00:00:00Z;;nc
Q30708188;Federico Sboarina;;;male;+1971-01-10T00:00:00Z;;nc
Q6239861;John Horgan;36th Premier of British Columbia;;male;+1959-08-07T00:00:00Z;;nc
Q57840;Philémon Yang;Prime Minister of Cameroon;;male;+1947-06-14T00:00:00Z;;nc
Q25391268;Youssef Chahed;Tunisian politician;يوسف الشاهد;male;+1975-09-18T00:00:00Z;;nc
Q57667;Dési Bouterse;President of Suriname;Desiré Delano Bouterse;male;+1945-10-13T00:00:00Z;;nc
Q3105581;Gilbert Annette;Member of the National Assembly of France;Gilbert Annette;male;+1946-03-10T00:00:00Z;;nc
Q457786;Rodrigo Duterte;Filipino politician and the 16th President of the Philippines;Rodrigo Roa Duterte;male;+1945-03-28T00:00:00Z;;nc
Q18437559;Željko Burić;mayor of Šibenik;;male;+1955-07-15T00:00:00Z;;nc
Q28002959;Aripov Abdulla Nigmatovich;politician;Abdulla Nigmatovich Aripov;male;+1961-05-24T00:00:00Z;;nc
Q13607430;Urmas Klaas;Estonian politician;Urmas Klaas;male;+1971-03-17T00:00:00Z;;nc
Q6428317;Komi Klassou;Togolese politician;;male;+1960-02-10T00:00:00Z;;nc
Q2924893;Brian Gallant;Canadian politician;;male;+1982-04-27T00:00:00Z;;nc
Q2033385;Saad-Eddine El Othmani;head of the government of Morocco;;male;+1956-01-16T00:00:00Z;;nc
Q5318112;Dwight Ball;Canadian politician;;male;+1957-00-00T00:00:00Z;;nc
Q5951723;Juan Orlando Hernández;Honduran politician;Juan Orlando Hernández;male;+1968-10-28T00:00:00Z;;nc
Q1711532;Juha Sipilä;Finnish businessman and politician (b. 1961);Juha Sipilä;male;+1961-04-25T00:00:00Z;;nc
Q30745227;Marco Bucci;Italian politician;;male;+1959-10-31T00:00:00Z;;nc
Q4779594;Ada Colau;Spanish activist;Ada Colau i Ballano;female;+1974-03-03T00:00:00Z;;nc
Q317556;Abdullah Abdullah;Afghan politician;;male;+1960-09-05T00:00:00Z;;nc
Q26996246;Carlos Alvarado Quesada;48th President of Costa Rica;Carlos Andrés Alvarado Quesada;male;+1980-01-14T00:00:00Z;;nc
Q20385886;Ahmed Obaid Bin-Dagher;Prime minister of Yemen;أحمد عبيد بن دغر;male;+1952-12-02T00:00:00Z;;nc
Q57641;Viktor Orbán;Hungarian politician, chairman of Fidesz;Orbán Viktor;male;+1963-05-31T00:00:00Z;;nc
Q567;Angela Merkel;Chancellor of Germany;Angela Merkel;female;+1954-07-17T00:00:00Z;;nc
Q969340;Daniel Günther;German politician;Daniel Günther;male;+1973-07-24T00:00:00Z;;nc
Q1346089;Enzo Bianco;Italian politician;Enzo Bianco;male;+1951-02-24T00:00:00Z;;nc
Q938224;Joseph Muscat;Prime Minister of Malta;Joseph Muscat;male;+1974-01-22T00:00:00Z;;nc
Q181383;Mahathir Mohamad;Prime Minister of Malaysia;;male;+1925-07-10T00:00:00Z;;nc
Q43289295;Joan Martí Bonmatí;;;male;+1963-00-00T00:00:00Z;;nc
Q47009412;Kathy Bailey;mayor of Loveland, Ohio, United States;;female;;;nc
Q4014539;Virginio Merola;Italian politician;Virginio Merola;male;+1955-02-14T00:00:00Z;;nc
Q1190856;Naveen Patnaik;Chief Minister, Odisha, India;ନବୀନ ପଟ୍ଟନାୟକ;male;+1946-10-16T00:00:00Z;;nc
Q316901;Edi Rama;Albanian politician;Edi Rama;male;+1964-07-04T00:00:00Z;;nc
Q26258815;Ana Brnabić;Prime Minister of Serbia;Ана Брнабић;female;+1975-09-28T00:00:00Z;;nc
Q57429;Danilo Medina;President of the Dominican Republic;;male;+1951-11-10T00:00:00Z;;nc
Q28650390;João Lourenço;Angolan politician, president of Angola;João Manuel Gonçalves Lourenço;male;+1954-03-05T00:00:00Z;;nc
Q18111;Li Keqiang;Premier of the People's Republic of China;;male;+1955-07-01T00:00:00Z;;nc
Q17320405;Mohamed Ben Abdallah Dionne;Senegalese prime minister;Mahammed Boun Abdallah Dionne;male;+1959-09-22T00:00:00Z;;nc
Q1728820;Leo Varadkar;Irish Fine Gael politician;Leo Varadkar;male;+1979-01-18T00:00:00Z;;nc
